game,platform,developer,genre,rating,release_date,metascore,user_score
Black Mirror II: Reigning Evil,PC,Cranberry Studios,Adventure,T,2011-02-08,71,77
Pilotwings Resort,3DS,Monster Games Inc.,Simulation,E,2011-03-27,71,72
Back to the Future: The Game - Episode IV: Double Visions,PC,Telltale Games,Action Adventure,RP,2011-04-29,71,61
Hector: Badge of Carnage - Episode 3: Beyond Reasonable Doom,PC,Straandlooper,Action,,2011-09-22,70,75
Age of Empires Online,PC,Gas Powered Games,Strategy,E10+,2011-08-16,70,57
Sanctum (2011),PC,Coffee Stain Studios,Action,,2011-04-15,70,67
Take On Helicopters,PC,Bohemia Interactive,Simulation,T,2011-10-16,70,67
Cities in Motion,PC,Colossal Order,Simulation,E,2011-02-22,70,77
Brink,PC,Splash Damage,Action,T,2011-05-09,70,60
The Sims 3: Generations,PC,The Sims Studio,Simulation,T,2011-05-31,70,37
Fallout: New Vegas - Dead Money,PC,Obsidian Entertainment,Role-Playing,M,2011-02-22,70,63
Before the Echo,PC,Iridium Studios,Action,,2011-10-20,70,74
Homefront,PC,Digital Extremes,Action,M,2011-03-14,70,55
Pride of Nations,PC,"Paradox Interactive, AGEOD",Strategy,T,2011-06-07,70,56
Fate of the World,PC,Red Redemption,Strategy,,2011-02-28,70,76
Sengoku,PC,Paradox Development Studio,Strategy,T,2011-09-13,70,68
Need for Speed: The Run,PC,Black Box,Driving,T,2011-11-15,69,60
Shinobi,3DS,Griptonite Games,Action,T,2011-11-15,69,74
Q.U.B.E.,PC,Toxic Games,Miscellaneous,,2011-12-17,69,75
Lume,PC,State of Play Games,Miscellaneous,,2011-05-09,69,50
Forsaken World,PC,Perfect World Entertainment,Role-Playing,,2011-03-22,69,50
Runespell: Overture,PC,Mystic Box,Role-Playing,,2011-07-20,69,69
Earth Defense Force: Insect Armageddon,PC,Vicious Cycle,Action,T,2011-12-14,69,72
"Freakyforms: Your Creations, Alive!",3DS,"Asobism, Co. ltd.",Miscellaneous,E,2011-11-10,68,77
3D Classics: TwinBee,3DS,Arika,Action,E,2011-09-22,68,75
Mount & Blade: With Fire & Sword,PC,Taleworlds,Role-Playing,T,2011-05-03,68,69
Men of War: Vietnam,PC,Best Way,Strategy,T,2011-09-08,68,52
Battlefield: Play4Free,PC,Digital Illusions,Action,,2011-03-10,68,20
Oil Rush,PC,"Unigine Corp, Russia",Strategy,,2011-09-23,67,65
Xotic,PC,WXP,Action,,2011-09-16,67,76
Railworks 3: Train Simulator 2012,PC,RailSimulator.com,Simulation,E,2011-09-23,67,64
FIFA Soccer 12,3DS,EA Sports,Sports,E,2011-09-27,67,39
The Sims Medieval: Pirates & Nobles,PC,The Sims Studio,Simulation,T,2011-08-30,67,47
Mahjong Cub3d,3DS,SunSoft,Miscellaneous,E,2011-10-11,67,53
LEGO Star Wars III: The Clone Wars,3DS,Traveller's Tales,Action Adventure,E10+,2011-03-27,67,61
Operation Flashpoint: Red River,PC,Codemasters,Action,M,2011-06-06,67,49
Sonic Generations,3DS,"Sega, Dimps Corporation",Action,E,2011-11-22,66,67
The Lord of the Rings: War in the North,PC,Snowblind Studios,Role-Playing,M,2011-11-01,66,71
Dragon Age II: Legacy,PC,BioWare,Role-Playing,M,2011-07-26,66,43
Fallout: New Vegas - Honest Hearts,PC,Obsidian Entertainment,Role-Playing,M,2011-05-17,66,67
Dead Rising 2: Off the Record,PC,Capcom Vancouver,Action Adventure,M,2011-10-11,66,57
Serious Sam Double D,PC,Mommy's Best Games,Action,,2011-08-30,66,75
Dungeons,PC,Realmforge Studios,Strategy,M,2011-02-10,65,46
Need for Speed: The Run,3DS,Firebrand Games,Driving,E10+,2011-11-15,65,63
Darkspore,PC,Maxis,Role-Playing,T,2011-04-25,65,60
Resident Evil: The Mercenaries 3D,3DS,Capcom,Action Adventure,M,2011-06-28,65,65
Hoard,PC,"Big Sandwich Games, Inc.",Action,E,2011-04-04,65,72
Cargo! The Quest for Gravity,PC,Ice-Pick Lodge,Miscellaneous,T,2011-04-21,64,70
Serious Sam: The Random Encounter,PC,"Croteam, Vlambeer",Action,,2011-10-24,64,64
SpongeBob Squigglepants 3D,3DS,WayForward,Miscellaneous,E,2011-05-17,64,57
BlazBlue: Continuum Shift II,3DS,Arc System Works,Action,T,2011-05-31,64,62
Hydrophobia Prophecy,PC,Dark Energy Digital,Action Adventure,M,2011-05-09,64,60
Supreme Ruler: Cold War,PC,BattleGoat Studios,Strategy,RP,2011-07-19,63,68
The Baconing,PC,Hothead Games,Action,T,2011-08-31,63,52
Harvest Moon 3D: The Tale of Two Towns,3DS,Marvelous Entertainment,Strategy,E,2011-11-01,63,64
Puzzle Agent 2,PC,Telltale Games,Miscellaneous,,2011-06-30,63,69
Mass Effect 2: Arrival,PC,BioWare,Role-Playing,M,2011-03-29,63,61
The Tiny Bang Story,PC,Colibri Games,Adventure,,2011-04-22,63,72
Let's Golf 3D,3DS,Gameloft,Sports,E,2011-07-28,62,65
Chantelise: A Tale of Two Sisters,PC,EasyGameStation,Role-Playing,,2011-07-29,62,70
Gabrielle's Ghostly Groove 3D,3DS,Santa Entertainment,Action,E,2011-10-04,62,74
Breach (2011),PC,Atomic Games,Action,T,2011-01-26,61,58
Rayman 3D,3DS,Ubisoft Casablanca,Action,E,2011-03-22,61,64
Hunted: The Demon's Forge,PC,InXile Entertainment,Action Adventure,M,2011-05-30,61,66
Cities XL 2012,PC,"Monte Cristo Multimedia, Monte Cristo",Strategy,E,2011-10-20,61,56
E.Y.E: Divine Cybermancy,PC,Streum On Studio,Role-Playing,RP,2011-07-29,61,69
Venetica,PC,Deck 13,Role-Playing,T,2011-01-25,61,68
Samurai Warriors Chronicles,3DS,Omega Force,Action,T,2011-03-27,61,78
Magicka: Vietnam,PC,Arrowhead Game Studios,Fantasy,T,2011-04-12,60,67
James Noir's Hollywood Crimes,3DS,Ubisoft,Miscellaneous,T,2011-11-01,60,67
Storm: Frontline Nation,PC,SimBin,Strategy,,2011-06-10,60,72
Off-Road Drive,PC,Avalon Style,Driving,,2011-09-29,60,65
Pyramids,3DS,Visual Impact,Miscellaneous,E,2011-10-27,60,60
IL-2 Sturmovik: Cliffs of Dover,PC,1C: Maddox Games,Simulation,T,2011-04-26,60,71
Pac-Man & Galaga Dimensions,3DS,Namco Bandai Games,Action,E10+,2011-07-26,60,71
inMomentum,PC,Digital Arrow,Miscellaneous,,2011-10-31,59,52
F1 2011,3DS,Codemasters,Driving,E,2011-12-06,59,64
Faery: Legends of Avalon,PC,Spiders,Role-Playing,E10+,2011-05-06,59,66
Ignite,PC,Nemesys,Driving,,2011-10-28,59,60
Steel Diver,3DS,"Nintendo, Vitei",Action,E10+,2011-03-27,58,62
DualPenSports,3DS,Indies Zero ,Sports,E10+,2011-06-21,58,35
Cartoon Network: Punch Time Explosion,3DS,"Papaya Studios, Papaya Studio",Action,E10+,2011-06-02,58,57
The First Templar,PC,"Haemimont, Haemimont Games",Action Adventure,T,2011-05-12,57,59
3D Classics: Xevious,3DS,Arika,Action,E,2011-07-21,56,58
The Adventures of Tintin: The Game,3DS,Ubisoft Montpellier,Adventure,E10+,2011-12-06,56,52
APB: Reloaded,PC,"Reloaded Productions, Reloaded Games Inc., Reloaded Games",Role-Playing,M,2011-12-01,56,57
Pirates of Black Cove,PC,Nitro Games,Strategy,T,2011-08-02,56,58
Pokemon Rumble Blast,3DS,Ambrella,Action,E10+,2011-10-24,56,69
Edna & Harvey: The Breakout,PC,Daedalic Entertainment,Adventure,T,2011-01-03,56,65
Super Monkey Ball 3D,3DS,Sega,Action,E,2011-03-27,55,55
Thor: God of Thunder,3DS,Red Fly Studio,Action,T,2011-09-13,55,42
Rabbids Travel in Time 3D,3DS,Ubisoft,Action,E,2011-04-10,55,62
Crasher,PC,Punchers Impact,Simulation,,2011-01-28,55,70
The Cursed Crusade,PC,Kylotonn,Action Adventure,M,2011-10-25,55,57
King Arthur: Fallen Champions,PC,NeocoreGames,Strategy,RP,2011-09-16,54,50
Dream Trigger 3D,3DS,"Art Co., Ltd.",Action,E,2011-05-10,54,63
Duke Nukem Forever,PC,"Gearbox Software, 3D Realms",Action,M,2011-06-13,54,58
No Time to Explain,PC,"tiny Build GAMES, tinyBuild",Action,,2011-08-15,54,61
Jurassic Park: The Game,PC,Telltale Games,Adventure,T,2011-11-15,54,46
Achron,PC,Hazardous Software ,Strategy,,2011-08-29,54,74
Frogger 3D,3DS,Alpha Unit,Action,E,2011-09-20,54,62
Doctor Lautrec and the Forgotten Knights,3DS,WinkySoft,Miscellaneous,E10+,2011-12-13,53,61
A Game of Thrones: Genesis,PC,Cyanide,Strategy,,2011-09-28,53,41
Tom Clancy's Splinter Cell 3D,3DS,Ubisoft,Action Adventure,T,2011-04-10,53,57
Alpha Polaris: A Horror Adventure Game,PC,Turmoil Games,Adventure,,2011-06-24,52,46
The Sims 3,3DS,EA Games,Simulation,T,2011-03-22,52,31
The Haunted: Hell's Reach,PC,ValuSoft,Action Adventure,M,2011-10-24,51,77
Cubic Ninja,3DS,AQ Interactive,Miscellaneous,E,2011-06-14,51,59
Call of Juarez: The Cartel,PC,Ubisoft,Action,M,2011-09-13,51,34
Captain America: Super Soldier,3DS,High Voltage Software,Action,T,2011-10-25,51,50
Spider-Man: Edge of Time,3DS,Beenox,Action,T,2011-10-04,50,62
Afterfall: InSanity,PC,Nicolas Intoxicate,Role-Playing,,2011-11-25,50,59
Gods & Heroes: Rome Rising,PC,Heatwave Interactive,Role-Playing,T,2011-06-21,50,62
Trapped Dead,PC,"Headup Games, Crenetic Studios",Strategy,,2011-02-25,50,47
Dungeons & Dragons: Daggerdale,PC,Bedlam Games,Role-Playing,T,2011-05-25,49,36
Garshasp: The Monster Slayer,PC,Dead Mage Studio,Action Adventure,,2011-05-09,49,64
Madden NFL Football,3DS,EA Tiburon,Sports,E,2011-03-22,49,53
Theatre of War 3: Korea,PC,"1C, 1C Company",Strategy,,2011-03-24,49,55
Bust-A-Move Universe,3DS,Arika,Puzzle,E,2011-03-27,49,48
Driver: Renegade,3DS,Ubisoft,Driving,M,2011-09-06,48,49
Grotesque Tactics 2: Dungeons & Donuts,PC,Silent Dreams,Strategy,RP,2011-11-21,48,65
Stronghold 3,PC,FireFly Studios,Strategy,T,2011-10-24,47,30
Dead Horde,PC,DNS Development,Action Adventure,,2011-07-27,45,51
Sword of the Stars II: Lords of Winter,PC,Kerberos Productions,Strategy,T,2011-10-28,44,46
Combat of Giants: Dinosaurs 3D,3DS,Ubisoft,Action Adventure,E10+,2011-03-27,44,53
Ghostbusters: Sanctum of Slime,PC,Behavior Studios,Action Adventure,E10+,2011-03-23,43,44
"Harry Potter and the Deathly Hallows, Part 2",PC,,Action,T,2011-07-12,43,46
Painkiller: Redemption,PC,DreamCatcher Interactive,Action,,2011-02-25,43,49
Pac-Man Party 3D,3DS,Namco Bandai Games,Miscellaneous,E,2011-11-08,43,58
Asphalt 3D,3DS,Gameloft,Driving,E10+,2011-03-22,43,43
Arcania: Fall of Setarrif,PC,Spellbound,Role-Playing,T,2011-10-24,41,19
Battle: Los Angeles,PC,Saber Interactive,Action,T,2011-03-11,38,32
3D Classics: Urban Champion,3DS,Arika,Action,E10+,2011-08-18,37,58
Shadow Harvest: Phantom Ops,PC,Black Lion Studios,Action,M,2011-04-05,34,27
The Asskickers,PC,AGO Games,Action,,2011-07-21,31,40
Transformers: Dark of the Moon - Stealth Force Edition,3DS,Behaviour Interactive,Action,E10+,2011-06-14,30,33
Postal III,PC,Running With Scissors,First-Person,,2011-12-21,24,30
