game,platform,developer,genre,rating,release_date,metascore,user_score
Oxenfree,XONE,Night School Studio,Action Adventure,T,2016-01-15,78,73
Hue,XONE,Fiddlesticks Games,Puzzle,E,2016-08-30,78,71
ABZU,PS4,Giant Squid,Fantasy,E,2016-08-02,78,76
Toki Tori 2 +,PS4,Two Tribes,Puzzle,E,2016-02-23,78,56
Call of Duty: Infinite Warfare,XONE,Infinity Ward,Action,M,2016-11-04,78,36
The Count Lucanor,PC,Baroque Decay,Action Adventure,,2016-03-03,78,78
Pac-Man Championship Edition 2,PC,Bandai Namco Games,Action,E,2016-09-13,78,66
Crashlands,PC,Butterscotch Shenanigans,Role-Playing,,2016-01-21,78,78
Style Savvy: Fashion Forward,3DS,syn Sophia,Simulation,E,2016-08-19,78,69
Dungelot: Shattered Lands,PC,"Red Winter Software Limited, Red Winter Software",Role-Playing,,2016-02-18,78,68
Dying Light: The Following,PS4,Techland,Action Adventure,M,2016-02-09,78,79
Mega Man Legacy Collection,3DS,Digital Eclipse,Miscellaneous,E,2016-02-23,77,77
Reigns,PC,Nerial,Simulation,,2016-08-11,77,75
Letter Quest: Grimm's Journey Remastered,XONE,Bacon Bandit Games,Puzzle,E,2016-04-08,77,64
Life Goes On: Done to Death,PS4,Infinite Monkeys,Action,E10+,2016-05-17,77,68
Far Cry Primal,XONE,Ubisoft Montreal,Action,M,2016-02-23,77,64
Sky Force Anniversary,XONE,Infinite Dreams Inc.,Action,E10+,2016-12-09,77,52
Livelock,XONE,Tuque Games,Action,T,2016-08-30,77,70
Ultimate Marvel vs. Capcom 3,PS4,Capcom,Action,T,2016-12-03,77,72
Pac-Man Championship Edition 2,PS4,Bandai Namco Games,Action,E,2016-09-13,77,74
Street Fighter V,PS4,Capcom,Action,T,2016-02-16,77,36
Shu,PS4,Coatsink Software,Action,E,2016-10-04,77,68
Virginia,PS4,505 Games,Adventure,M,2016-09-22,77,58
Baldur's Gate: Siege of Dragonspear,PC,Overhaul Games,Role-Playing,,2016-03-31,77,37
Kerbal Space Program,PS4,Flying Tiger Development,Simulation,E,2016-07-12,77,62
Furi,XONE,The Game Bakers,Action,M,2016-12-02,77,77
Corpse Party,3DS,5pb,Action Adventure,M,2016-10-25,77,78
Duke Nukem 3D: 20th Anniversary World Tour,PS4,Gearbox Software,Action,M,2016-10-11,77,74
Quantum Break,XONE,Remedy Entertainment,General,M,2016-04-05,77,71
World of Final Fantasy,PS4,Square Enix,Role-Playing,E10+,2016-10-25,77,77
Echoes Of Aetheria,PC,Dancing Dragon games,Role-Playing,,2016-01-15,77,71
Orwell,PC,Osmotic Studios,Adventure,,2016-10-27,77,72
NHL 17,XONE,"EA Canada, EA Vancouver",Sports,E10+,2016-09-13,77,40
Hitman GO: Definitive Edition,PS4,Square Enix Montreal,Strategy,E10+,2016-02-23,77,66
Attack on Titan,XONE,Omega Force,Action,M,2016-08-30,77,64
On Rusty Trails,PC,Black Pants Studio,Action,,2016-06-13,77,64
Lumo,PC,Triple Eh? Ltd,Action,,2016-05-24,77,60
The Lion's Song,PC,Mi'pu'mi Games,Adventure,,2016-07-07,77,75
Chronos,PC,Gunfire Games,Action Adventure,,2016-03-28,77,88
Battlefleet Gothic: Armada,PC,Tindalos Interactive,Sci-Fi,,2016-04-21,77,74
Call of Duty: Infinite Warfare,PS4,Infinity Ward,Action,M,2016-11-04,77,38
Kathy Rain,PC,Clifftop Games,Adventure,,2016-05-05,77,73
Day of Infamy,PC,New World Interactive,Action,,2016-07-28,77,85
VA-11 Hall-A: Cyberpunk Bartender Action,PC,Sukeban Games,Simulation,,2016-06-21,77,82
Hitman - Intro Pack,PS4,Io Interactive,Action Adventure,,2016-03-11,77,52
Warhammer: End Times - Vermintide,XONE,"Fatshark AB, Nordic Games Publishing",Action,M,2016-10-04,77,63
Headlander,PS4,Double Fine Productions,Action,T,2016-07-26,77,70
Hue,PS4,Fiddlesticks Games,Puzzle,E,2016-08-30,77,74
Furi,PS4,The Game Bakers,Action,M,2016-07-05,77,77
Pac-Man Championship Edition 2,XONE,Bandai Namco Games,Action,E,2016-09-13,77,80
Worms W.M.D,PC,Team 17,Strategy,E10+,2016-08-23,76,77
The Banner Saga,XONE,Stoic,Role-Playing,T,2016-01-12,76,82
Batman: The Telltale Series - Episode 5: City of Light,XONE,Telltale Games,Adventure,M,2016-12-13,76,69
Skullgirls: 2nd Encore,VITA,Lab Zero Games,Action,T,2016-04-05,76,83
Polaris Sector,PC,SoftWarWare,Strategy,,2016-03-22,76,71
The Aquatic Adventure of the Last Human,PC,YCJY,Action Adventure,,2016-01-19,76,65
Total War: WARHAMMER - Realm of the Wood Elves,PC,Creative Assembly,Strategy,,2016-12-08,76,57
Tethered,PS4,"Secret Sorcery, SECRET SORCERY LIMITED, Secret Sorcery Towers",Action,E10+,2016-10-25,76,74
10 Second Ninja X,PS4,GameDesignDan,Action,T,2016-07-19,76,53
Grand Kingdom,VITA,Spike Chunsoft,Strategy,T,2016-06-21,76,83
Obduction,PC,Cyan Worlds,Adventure,,2016-08-24,76,77
Clustertruck,PC,"LandFall Games, LandFall",Action,,2016-09-27,76,73
Pokken Tournament,WIIU,Bandai Namco Games,Action,E10+,2016-03-18,76,73
Werewolves Within,PS4,Ubisoft,Miscellaneous,E,2016-12-06,76,71
Trackmania Turbo,XONE,Nadeo,Racing,E,2016-03-22,76,73
Mario & Luigi: Paper Jam,3DS,"Nintendo, Alphadream Corporation",Role-Playing,E,2016-01-22,76,76
Azure Striker Gunvolt 2,3DS,Inti Creates,Action,T,2016-09-29,76,80
Deponia Doomsday,PC,Daedalic Entertainment,Adventure,,2016-03-01,76,70
Hyper Light Drifter,XONE,Heart Machine,Role-Playing,T,2016-07-26,76,70
The Final Station,PC,"tinyBuild, Do My Best Games",Action Adventure,,2016-08-30,76,73
EA Sports UFC 2,XONE,EA Sports,Sports,T,2016-03-15,76,56
7th Dragon III Code: VFD,3DS,Sega,General,T,2016-07-12,76,79
Resident Evil 4,XONE,Capcom,Action Adventure,M,2016-08-30,76,80
Far Cry Primal,PS4,Ubisoft Montreal,Action,M,2016-02-23,76,65
Klaus,PS4,La Cosa Entertainment,Action,E10+,2016-01-19,76,72
Heart&Slash,PS4,AHEARTFULOFGAMES,Action,E10+,2016-06-28,76,70
The Walking Dead: Michonne - Episode 3: What We Deserve,PS4,Telltale Games,Adventure,M,2016-04-26,76,71
LEGO Star Wars: The Force Awakens,XONE,TT Games,Action Adventure,E10+,2016-06-28,76,70
The Magic Circle: Gold Edition,PS4,Question,Adventure,M,2016-04-26,76,71
Paper Mario: Color Splash,WIIU,"Nintendo, Intelligent Systems",Role-Playing,E,2016-10-07,76,72
Furi,PC,The Game Bakers,Action,M,2016-07-05,76,78
Everybody's Gone to the Rapture,PC,The Chinese Room,Adventure,,2016-04-14,76,52
Firewatch,PS4,Campo Santo,Adventure,M,2016-02-09,76,68
American Truck Simulator,PC,SCS Software,Simulation,E,2016-02-02,76,68
Not A Hero: Super Snazzy Edition,XONE,roll7,Action,M,2016-05-24,75,63
Unravel,XONE,Coldwood Interactive,Action,E,2016-02-09,75,81
Strike Vector EX,PS4,"Strike Vector Team, Ragequit Corporation",Action,M,2016-08-30,75,70
Space Run Galaxy,PC,Passtech Games,Strategy,,2016-06-17,75,54
Watch Dogs 2,PC,Ubisoft Montreal,Action Adventure,M,2016-11-28,75,71
Killing Floor 2,PC,Tripwire Interactive,Sci-Fi,M,2016-11-18,75,76
Beholder,PC,Warm Lamp Games,Strategy,T,2016-11-09,75,79
Seasons After Fall,PC,Swing Swing Submarine,Platformer,,2016-09-02,75,69
Killing Floor 2,PS4,Tripwire Interactive,Action,M,2016-11-16,75,73
Deus Ex: Mankind Divided - System Rift,PS4,Eidos Montreal,Action Adventure,M,2016-09-27,75,64
Hitman - Intro Pack,XONE,Io Interactive,Action Adventure,,2016-03-11,75,44
Hitman - Episode 3: Marrakesh,PS4,Io Interactive,Action Adventure,,2016-05-31,75,73
Battlezone 98 Redux,PC,Big Boat Interactive,Simulation,,2016-04-18,75,87
Silence: The Whispered World 2,PC,Daedalic Entertainment,Adventure,,2016-11-15,75,75
Digimon Story Cyber Sleuth,PS4,Media Vision,Role-Playing,T,2016-02-02,75,80
Shardlight,PC,Wadjet Eye Games,Adventure,,2016-03-08,75,66
Fallout 4: Far Harbor,PS4,Bethesda Game Studios,Role-Playing,M,2016-05-19,75,64
Worms W.M.D,XONE,Team 17,Strategy,E10+,2016-08-23,75,81
Batman: The Telltale Series - Episode 5: City of Light,PC,Telltale Games,Adventure,,2016-12-13,75,68
Stikbold! A Dodgeball Adventure,PS4,Reign Bros,Action,E,2016-04-05,75,70
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,Gust,Role-Playing,T,2016-06-07,75,76
Batman: The Telltale Series - Episode 4: Guardian of Gotham,XONE,Telltale Games,Adventure,M,2016-11-22,75,51
Road to Ballhalla,PC,Torched Hill,Action,,2016-08-05,75,72
Resident Evil 5,XONE,Capcom,Action Adventure,M,2016-06-28,75,73
Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,VITA,Gust,Role-Playing,E10+,2016-01-19,75,82
Raiden V,XONE,Moss,Action,E,2016-05-11,75,78
Ittle Dew 2,PS4,Ludosity Interactive,Role-Playing,E10+,2016-11-15,75,60
Shantae and the Pirate's Curse,PS4,WayForward,Action,T,2016-04-09,75,76
The Little Acre,XONE,"Curve Digital Games, Curve Digital",Action Adventure,E10+,2016-12-13,75,80
RIVE,PS4,Two Tribes,Action,E10+,2016-09-13,75,71
Hitman - Intro Pack,PC,Io Interactive,Action Adventure,,2016-03-11,75,38
Valentino Rossi The Game,PS4,"Milestone, Milestone S.r.l",Racing,E,2016-06-17,75,75
Push Me Pull You,PS4,House House,Sports,E,2016-05-03,75,66
Yomawari: Night Alone,VITA,Nippon Ichi Software,Adventure,T,2016-10-25,75,83
Prison Architect,XONE,"Introversion, Double Eleven",Strategy,,2016-07-01,75,68
"Gremlins, Inc.",PC,Yukitama Creative Industries,Miscellaneous,,2016-03-11,75,53
Reus,PS4,Soedesco,Strategy,E10+,2016-10-11,75,42
Event[0],PC,Ocelot Society,Adventure,,2016-09-14,75,67
Tropico 5 Penultimate Edition,XONE,Kalypso,Strategy,T,2016-05-24,75,63
Epistory - Typing Chronicles,PC,Fishing Cactus,Action Adventure,,2016-03-30,74,76
Batman: Arkham VR,PS4,Rocksteady Studios,Action,M,2016-10-11,74,72
Slain: Back from Hell,PC,Wolf Brew Games,Action,,2016-08-01,74,83
Call of Duty: Black Ops III - Eclipse,PS4,Treyarch,Action,,2016-04-19,74,38
Fallout 4: Nuka-World,PC,Bethesda Game Studios,Role-Playing,,2016-08-30,74,53
Kerbal Space Program,XONE,"Flying Tiger Entertainment Inc., Squad",Simulation,E,2016-07-15,74,70
SuperHyperCube,PS4,KOKOROMI,Puzzle,E,2016-10-13,74,61
Neverwinter,PS4,Cryptic Studios,Role-Playing,T,2016-07-19,74,70
I Am Setsuna,PS4,Tokyo RPG Factory,Role-Playing,E10+,2016-07-19,74,74
Not a Hero,PS4,roll7,General,M,2016-02-02,74,64
Nobunaga's Ambition: Sphere of Influence - Ascension,PS4,Koei Tecmo Games,Strategy,T,2016-10-25,74,67
Far Cry Primal,PC,Ubisoft Montreal,Action,M,2016-02-29,74,53
The Turing Test,PC,Bulkhead Interactive,Action,E10+,2016-08-30,74,68
Grow Up,XONE,Ubisoft Reflections,Action Adventure,E,2016-08-16,74,73
Layers of Fear,PS4,Bloober Team,Adventure,M,2016-02-16,74,76
Street Fighter V,PC,Capcom,Action,T,2016-02-16,74,31
Heaven's Hope,PC,Mosaic Mask,General,,2016-02-25,74,67
Shadow Complex Remastered,XONE,Chair Entertainment,Action,T,2016-03-16,74,55
Call of Duty: Black Ops III - Awakening,PS4,Treyarch,Action,,2016-02-02,74,54
Star Fox Guard,WIIU,"Nintendo, PlatinumGames",Action,E10+,2016-04-22,74,72
Amplitude,PS4,Harmonix Music Systems,Miscellaneous,E,2016-01-05,74,72
Yesterday Origins,PC,Pendulo Studios,Adventure,M,2016-11-10,74,73
Wild Guns Reloaded,PS4,"Natsume, NATSUME ATARI Inc.",Action,E10+,2016-12-20,74,59
Attack on Titan,PS4,Omega Force,Action,M,2016-08-30,74,70
Dead Rising 4,PC,"Capcom, Capcom Vancouver",Action Adventure,M,2016-12-06,74,37
Anarcute,XONE,Anarteam,Action,E10+,2016-07-12,74,73
Neon Chrome,PC,"10tons Entertainment, 10tons",Action,T,2016-04-28,74,75
Eagle Flight,PC,FunHouse,Action,,2016-10-13,74,69
Batman: The Telltale Series - Episode 3: New World Order,PS4,Telltale Games,Adventure,M,2016-10-25,74,71
Blues and Bullets - Episode 2: Shaking The Hive,XONE,A Crowd of Monsters,Action Adventure,,2016-04-08,74,45
TASTEE: Lethal Tactics,PC,SkyBox Labs,Strategy,,2016-05-10,74,73
Disgaea PC,PC,Nippon Ichi Software,Strategy,T,2016-02-04,74,59
Headlander,PC,Double Fine Productions,Action,T,2016-07-26,74,76
Neverending Nightmares,PS4,Infinitap Games,Action Adventure,M,2016-05-03,74,69
Mirror's Edge Catalyst,PC,EA DICE,Action,T,2016-06-07,74,52
Virginia,PC,Variable State,Adventure,,2016-09-22,74,49
The Flame in the Flood,XONE,The Molasses Flood,Action Adventure,T,2016-02-24,74,50
Batman: The Telltale Series - Episode 1: Realm of Shadows,PC,Telltale Games,Adventure,M,2016-08-02,74,64
Master of Orion: Conquer the Stars,PC,NGD Studios,Strategy,,2016-08-25,74,69
Stories: The Path of Destinies,PC,Spearhead Games,Role-Playing,,2016-04-12,74,71
Fallout 4: Automatron,XONE,Bethesda Game Studios,Role-Playing,M,2016-03-22,74,57
Batman: The Telltale Series - Episode 4: Guardian of Gotham,PS4,Telltale Games,Adventure,M,2016-11-22,73,65
Ladykiller in a Bind,PC,Love Conquers All Games,Action Adventure,,2016-10-10,73,74
Super Mario Maker for Nintendo 3DS,3DS,Nintendo,Action,E,2016-12-02,73,65
The Deadly Tower of Monsters,PC,ACE Team,Action Adventure,T,2016-01-19,73,78
Black Desert Online,PC,Pearl Abyss,Role-Playing,,2016-03-03,73,70
Just Dance 2017,XONE,Ubisoft Paris,Action,E10+,2016-10-25,73,66
Just Dance 2017,PS4,Ubisoft Paris,Action,E10+,2016-10-25,73,67
Jotun: Valhalla Edition,XONE,Thunder Lotus Games,Action,T,2016-09-09,73,57
Batman: The Telltale Series - Episode 4: Guardian of Gotham,PC,Telltale Games,Adventure,,2016-11-22,73,68
God Eater 2: Rage Burst,PC,"Shift, QLOC",Role-Playing,T,2016-08-29,73,69
Punch Club,PC,Lazy Bear Games,Sports,T,2016-01-08,73,71
Livelock,PC,Tuque Games,Action,T,2016-08-30,73,76
Lumo,PS4,Triple Eh? Ltd,Action,E10+,2016-05-24,73,59
Sega 3D Classics Collection,3DS,M2,Miscellaneous,E10+,2016-04-26,73,75
Action Henk,PS4,RageSquid,Action,E,2016-03-08,73,52
Batman: The Telltale Series - Episode 3: New World Order,XONE,Telltale Games,Adventure,,2016-10-25,73,73
Batman: Return to Arkham,PS4,"Rocksteady Studios, Virtuos",Miscellaneous,T,2016-10-18,73,81
Disney Magical World 2,3DS,Bandai Namco Games,Simulation,E,2016-10-14,73,55
Hard Reset Redux,PC,Flying Wild Hog,Action,,2016-06-03,73,67
Dark Souls III: Ashes of Ariandel,PC,From Software,Role-Playing,M,2016-10-24,73,72
Project X Zone 2,3DS,Monolith Soft,Strategy,T,2016-02-16,73,76
Stories: The Path of Destinies,PS4,Spearhead Games,Role-Playing,T,2016-04-12,73,72
Dragon Ball: Xenoverse 2,XONE,Dimps Corporation,Action,T,2016-10-25,73,79
RIVE,PC,Two Tribes,Action,,2016-09-13,73,63
Call of Duty: Infinite Warfare,PC,Infinity Ward,Action,M,2016-11-03,73,35
StarCraft II: Nova Covert Ops - Mission Pack 1,PC,Blizzard Entertainment,Strategy,,2016-03-29,73,71
Destiny: Rise of Iron,XONE,Bungie,Action,,2016-09-20,73,33
Eagle Flight,PS4,"Ubisoft, FunHouse",Action,E10+,2016-11-08,73,69
Batman: The Telltale Series - Episode 3: New World Order,PC,Telltale Games,Adventure,,2016-10-25,73,72
Gears of War: Ultimate Edition for Windows 10,PC,"Epic Games, Splash Damage, The Coalition",Action,M,2016-03-01,73,36
Warhammer: End Times - Vermintide,PS4,Fatshark AB,Action,M,2016-10-04,73,62
Assetto Corsa,PS4,Kunos Simulazioni,Racing,E,2016-08-30,73,61
Yesterday Origins,PS4,Pendulo Studios,Adventure,M,2016-11-17,73,65
Kona,PC,Parabole,Action Adventure,T,2016-03-10,73,76
Poly Bridge,PC,Dry Cactus,Puzzle,,2016-07-12,73,69
The Flame in the Flood,PC,The Molasses Flood,Modern,T,2016-02-24,73,59
LEGO Harry Potter Collection,PS4,Warner Bros. Interactive Entertainment,Miscellaneous,E10+,2016-10-18,73,73
Project Highrise,PC,SomaSim,Strategy,,2016-09-08,73,73
Batman: The Telltale Series - Episode 2: Children of Arkham,PC,Telltale Games,Adventure,,2016-09-20,73,70
Rise of the Tomb Raider: Baba Yaga - The Temple of the Witch,XONE,"Crystal Dynamics, Nixxes Software",Action Adventure,M,2016-01-26,73,77
Headmaster,PS4,Frame Interactive,Sports,E10+,2016-10-13,72,72
Dead Rising 4,XONE,"Capcom, Capcom Vancouver",Action Adventure,M,2016-12-06,72,47
Tricky Towers,PS4,"WeirdBeard B.V., WeirdBeard",Puzzle,E,2016-08-02,72,70
Layers of Fear,PC,Bloober Team,Adventure,,2016-02-16,72,76
Wayward Sky,PS4,Uber Entertainment,Action,T,2016-10-10,72,71
Return to PoPoLoCrois: A Story of Seasons Fairytale,3DS,Marvelous Inc.,Strategy,E10+,2016-03-01,72,62
Gurumin 3D: A Monstrous Adventure,3DS,Falcom,Role-Playing,E10+,2016-10-13,72,76
Hitman GO: Definitive Edition,PC,Square Enix Montreal,Strategy,E10+,2016-02-23,72,42
Steep,PC,Ubisoft Annecy,Sports,T,2016-11-18,72,69
Yo-kai Watch 2: Bony Spirits,3DS,Level 5,Role-Playing,E10+,2016-09-30,72,77
Mirror's Edge Catalyst,XONE,EA DICE,Action,T,2016-06-07,72,57
Let It Die,PS4,Grasshopper Manufacture,Action,M,2016-12-03,72,72
Assassin's Creed: The Ezio Collection,PS4,Ubisoft Montreal,Miscellaneous,M,2016-11-15,72,76
Ray Gigant,VITA,Bandai Namco Games,Role-Playing,T,2016-05-03,72,81
Dragon Ball: Xenoverse 2,PS4,Dimps Corporation,Action,T,2016-10-25,72,75
Superdimension Neptune VS Sega Hard Girls,VITA,Compile Heart,Action,T,2016-10-18,72,82
Jotun: Valhalla Edition,PS4,Thunder Lotus Games,Action,T,2016-09-09,72,70
Alone With You,PS4,Benjamin Rivers,Adventure,E10+,2016-08-23,72,68
Duke Nukem 3D: 20th Anniversary World Tour,PC,Gearbox Software,Action,M,2016-10-11,72,72
Psycho-Pass: Mandatory Happiness,PS4,5pb,Adventure,T,2016-09-13,72,67
LEGO Star Wars: The Force Awakens,PC,TT Games,Action Adventure,E10+,2016-06-27,72,78
UEFA EURO 2016,PS4,Konami,Sports,E,2016-04-21,72,65
Minecraft: Story Mode - Episode 5: Order Up!,PS4,Telltale Games,Action Adventure,E10+,2016-03-29,72,63
Just Cause 3: Sky Fortress,PS4,Avalanche Studios,Action Adventure,,2016-03-15,72,72
Valley,PS4,Blue Isle Studios,Action Adventure,T,2016-08-23,72,72
Anima: Gate of Memories,XONE,Anima Project,Role-Playing,T,2016-06-03,72,83
Destiny: Rise of Iron,PS4,Bungie,Action,,2016-09-20,72,48
Steep,XONE,Ubisoft Annecy,Sports,T,2016-12-02,72,64
Disney Art Academy,3DS,Headstrong Games,Miscellaneous,E,2016-05-13,72,70
Until Dawn: Rush of Blood,PS4,SuperMassive Games,Action,M,2016-10-13,72,77
The Deadly Tower of Monsters,PS4,ACE Team,General,T,2016-01-19,72,70
Republique,PS4,"Camouflaj, LLC",Action Adventure,M,2016-03-22,72,59
Valkyrie Drive: Bhikkhuni,VITA,Marvelous Inc.,Action,M,2016-10-11,72,81
Cities: Skylines - Snowfall,PC,Colossal Order,Strategy,E,2016-02-18,72,66
Dragon Ball: Fusions,3DS,Ganbarion,Role-Playing,T,2016-11-22,72,80
Lichtspeer,PC,Lichthund,Action Adventure,,2016-09-27,72,76
Mordheim: City of the Damned,PS4,Rogue Factor,Strategy,M,2016-10-18,72,61
Total War: WARHAMMER - Call of the Beastmen,PC,Creative Assembly,Strategy,,2016-07-28,72,42
Demetrios - The BIG Cynical Adventure,PC,COWCAT,Adventure,,2016-05-31,72,77
Dead Rising Triple Pack,PS4,Capcom,Action Adventure,,2016-09-13,71,67
Grow Up,PC,Ubisoft Reflections,Action Adventure,E,2016-08-16,71,74
Bound,PS4,"SCE Santa Monica, Plastic Studios",Action,E10+,2016-08-16,71,71
LEGO Marvel's Avengers,XONE,TT Games,Action Adventure,E10+,2016-01-26,71,53
Steep,PS4,Ubisoft Annecy,Sports,T,2016-12-02,71,64
Job Simulator,PS4,Owlchemy Labs,Action,E10+,2016-10-13,71,70
Dead by Daylight,PC,Behaviour Interactive,Action Adventure,M,2016-06-14,71,66
Deponia,PS4,Daedalic Entertainment,Adventure,T,2016-12-01,71,62
Tumblestone,XONE,Ty Taylor and Mario Castaneda,Puzzle,E,2016-07-16,71,48
Factotum 90,XONE,TACS Games,Puzzle,E,2016-02-10,71,59
Megadimension Neptunia VII,PS4,"Idea Factory, Compile Heart",Role-Playing,T,2016-02-02,71,70
Battleborn,XONE,Gearbox Software,Sci-Fi,T,2016-05-03,71,72
Hitman - Episode 4: Bangkok,PS4,Io Interactive,Action Adventure,,2016-08-16,71,71
Corpse Party,PC,Mages.,Action Adventure,,2016-04-25,71,72
Song of the Deep,PC,Insomniac Games,Action Adventure,E,2016-07-12,71,71
Mantis Burn Racing,PS4,VooFoo Studios,Racing,E10+,2016-10-12,71,71
Fenix Furia,PS4,Green Lava Studios,Action,E,2016-06-07,71,50
LEGO Marvel's Avengers,PS4,TT Games,Action Adventure,E10+,2016-01-26,71,71
Aragami,PS4,Lince Works,Action Adventure,M,2016-10-10,71,71
Fragments of Him,XONE,Sassybot,Adventure,M,2016-06-01,71,73
The Detail,PC,Rival Games Ltd,Adventure,,2016-04-28,71,68
Tachyon Project,PS4,Eclipse Games,Action,E,2016-01-19,71,60
Stranger of Sword City,VITA,Experience Inc.,Role-Playing,T,2016-04-26,71,81
Sebastien Loeb Rally Evo,PS4,Milestone S.r.l,Racing,E,2016-01-29,71,76
Dark Souls III: Ashes of Ariandel,PS4,From Software,Role-Playing,M,2016-10-25,71,72
Uno,PS4,Ubisoft Chengdu,Miscellaneous,E,2016-08-16,71,64
Oceanhorn: Monster of Uncharted Seas,XONE,Cornfox & Bros.,Action Adventure,E10+,2016-09-07,71,81
EVE: Valkyrie,PS4,CCP,Action,T,2016-10-13,71,68
Aragami,PC,Lince Works,Action Adventure,M,2016-10-04,71,72
Dreamfall Chapters,PC,Red Thread Games,Adventure,,2016-06-17,71,77
Crazy Machines 3,PC,"FAKT Software GmBH, FAKT Software",Puzzle,,2016-10-18,71,65
Exist Archive: The Other Side of the Sky,VITA,Tri-Ace,Role-Playing,T,2016-10-18,71,81
Assassin's Creed: The Ezio Collection,XONE,Ubisoft Montreal,Miscellaneous,M,2016-11-15,71,72
Samurai Warriors 4 Empires,PS4,Omega Force,Action,T,2016-03-15,71,71
Riptide GP: Renegade,PS4,Vector Unit,General,E10+,2016-07-26,71,66
Chambara,PS4,team ok,Action,E10+,2016-07-26,71,60
The Climb,PC,Crytek,Action Adventure,,2016-04-21,71,72
Transport Fever,PC,Urban Games,Strategy,,2016-11-08,71,74
Edge of Nowhere,PC,Insomniac Games,Action Adventure,,2016-06-06,71,66
Amazing Discoveries In Outer Space,PS4,Cosmic Picnic,Action,E,2016-02-02,71,64
The Walking Dead: Michonne - Episode 3: What We Deserve,PC,Telltale Games,Adventure,,2016-04-26,71,72
Halcyon 6: Starbase Commander,PC,"Massive Damage, Inc.",Strategy,,2016-09-08,71,77
Fairy Fencer F: Advent Dark Force,PS4,Compile Heart,Role-Playing,T,2016-07-26,71,68
Sherlock Holmes: The Devil's Daughter,PS4,Frogwares,Adventure,T,2016-10-25,71,71
No Man's Sky,PS4,Hello Games,Action,T,2016-08-09,71,46
Sheltered,PS4,Unicube,Strategy,T,2016-03-15,70,64
Deadlight: Director's Cut,PS4,Tequila Works,Action,M,2016-06-21,70,65
I Am Setsuna,PC,Tokyo RPG Factory,Role-Playing,E10+,2016-07-19,70,72
Brigador,PC,Stellar Jockeys,Action,,2016-06-02,70,76
God Eater Resurrection,PS4,"Shift, Bandai Namco Games",Role-Playing,T,2016-06-29,70,72
The Walking Dead: Michonne - Episode 1: In Too Deep,PS4,Skybound LLC,Adventure,M,2016-02-23,70,71
Human: Fall Flat,PC,No Brakes Games,Action Adventure,,2016-07-22,70,78
Hitman - Episode 5: Colorado,PS4,Io Interactive,Action Adventure,,2016-09-27,70,72
The Warlock of Firetop Mountain,PC,Tin Man Games,Role-Playing,,2016-08-31,70,72
Hyrule Warriors Legends,3DS,Omega Force,Action,T,2016-03-25,70,74
Yo-kai Watch 2: Fleshy Souls,3DS,Level 5,Role-Playing,E10+,2016-09-30,70,74
Dead Island: Definitive Collection,PC,Techland,Miscellaneous,M,2016-05-31,70,56
Stranger of Sword City,XONE,Experience Inc.,Role-Playing,T,2016-03-22,70,76
Senran Kagura Shinovi Versus,PC,"Tamsoft, Marvelous AQL",Action,M,2016-06-01,70,71
Mother Russia Bleeds,PC,Le Cartel Studio,Action,,2016-09-05,70,69
Wailing Heights,PC,Outsider Games,Adventure,,2016-04-27,70,69
Nitroplus Blasterz: Heroines Infinite Duel,PS4,"Examu, Marvelous Inc.",Action,T,2016-02-02,70,68
Batman: The Telltale Series - Episode 1: Realm of Shadows,PS4,Telltale Games,Adventure,M,2016-08-02,70,65
The Final Station,XONE,"tinyBuild, Do My Best Games",Action Adventure,T,2016-09-02,70,62
Rainbow Moon,PS4,SideQuest Studios,Strategy,E10+,2016-02-16,70,63
Star Wars Battlefront: Outer Rim,PS4,EA DICE,Action,T,2016-04-05,70,59
Resident Evil 0: HD Remaster,PS4,Capcom,Action Adventure,M,2016-01-19,70,77
Dead Star,PS4,Armature Studio,Action,E,2016-04-05,70,59
Grow Up,PS4,Ubisoft Reflections,Action Adventure,E,2016-08-16,70,60
Fortified,XONE,Clapfoot Inc.,Action,T,2016-02-03,69,67
Final Fantasy Explorers,3DS,Racjin,Role-Playing,E10+,2016-01-26,69,85
River City: Tokyo Rumble,3DS,"Million, Aplus",Action,E10+,2016-09-27,69,80
Sorcery! Parts 1 and 2,PC,inkle,Action,,2016-02-02,69,77
The Walking Dead: The Telltale Series - A New Frontier,PC,Telltale Games,Action,,2016-12-20,69,63
The Walking Dead: Michonne - Episode 1: In Too Deep,PC,Skybound LLC,Adventure,,2016-02-23,69,57
EVE: Valkyrie,PC,CCP,Simulation,,2016-11-17,69,46
Diaries of a Spaceport Janitor,PC,Sundae Month,Simulation,,2016-09-16,69,71
Ashes of the Singularity,PC,Oxide Games,Strategy,,2016-03-31,69,68
Song of the Deep,PS4,Insomniac Games,Action Adventure,E,2016-07-12,69,71
Battleborn,PC,Gearbox Software,Sci-Fi,T,2016-05-03,69,71
Sword Art Online: Hollow Realization,PS4,"Bandai Namco Games, Aquria",Role-Playing,T,2016-11-08,69,75
God Eater 2: Rage Burst,PS4,Shift,Role-Playing,T,2016-08-30,69,75
Livelock,PS4,Tuque Games,Action,T,2016-08-30,69,69
Deadlight: Director's Cut,XONE,Tequila Works,Action,M,2016-06-21,69,72
